cust_id,Operation,cust_name,cust_contact,cust_location,DOB
41,Add,Karthik,1234567891,Kochi,19-07-1992
42,Add,Divya,2345678902,Bangalore,25-08-1993
43,Add,Shyam,3456789013,Chennai,10-09-1988
44,Add,Neha,4567890124,Mumbai,12-01-1990
35,Delete,Vani,4455667789,Noida,17-06-1992
36,Delete,Suresh,5566778890,Chennai,29-07-1993
45,Add,Suman,5678901235,Trivandrum,05-04-1994
46,Add,Rohit,6789012346,Bangalore,18-06-1995
47,Add,Ritika,7890123457,Kolkata,03-05-1991
48,Add,Harish,8901234568,Chennai,21-11-1992
49,Add,Simran,9012345679,Mumbai,16-02-1994
50,Add,Amit,1234567805,Noida,30-12-1990
