Employee_id,Operation,Emp_name,Store_id,DOB,Contact_number,Date_of_joining
39,Add,Mason Red,5,01-04-1993,9998887773,01-04-2021
40,Add,Nora Green,6,16-05-1994,8887776664,01-05-2022
41,Add,Olivia Blue,1,12-06-1989,7776665555,01-06-2021
32,Delete,Felicity White,4,23-09-1990,6665554444,15-09-2020
33,Delete,Gavin Gray,5,05-10-1991,5554443335,15-10-2021
42,Add,Peter Violet,2,19-07-1990,6665554446,01-07-2022
43,Add,Quincy Pink,3,23-08-1991,5554443337,01-08-2021
44,Add,Riley Brown,4,11-09-1992,4443332228,01-09-2022
45,Add,Sophia Yellow,5,13-10-1987,3332221119,01-10-2021
46,Add,Thomas Black,6,05-11-1993,2221110009,01-11-2022
47,Add,Ursula Blue,1,07-12-1994,1110009991,01-12-2022
48,Add,Victor Red,2,20-01-1990,9998882232,01-01-2023
